adc_bits,dac_bits,comparator_noise,settling_fraction,row_drop_case_ohm,spice_row_drop_loss_pct,relative_error,energy_relative,latency_comparisons,useful,interpretation
6,7,0.004,1.0,100.0,6.932031250000015,0.09000426441791687,5.037037037037036,24,1,reasonable converter boundary
6,7,0.004,0.97,100.0,6.932031250000015,0.09000426441791687,5.037037037037036,24,1,reasonable converter boundary
6,7,0.012,1.0,100.0,6.932031250000015,0.09000426441791687,5.037037037037036,24,1,reasonable converter boundary
6,7,0.012,0.97,100.0,6.932031250000015,0.09000426441791687,5.037037037037036,24,1,reasonable converter boundary
7,7,0.0,1.0,100.0,6.932031250000015,0.04644464152847725,8.0,28,0,precision costs more than the error reduction justifies
7,7,0.0,0.97,100.0,6.932031250000015,0.05870575245722467,8.0,28,0,precision costs more than the error reduction justifies
7,7,0.004,1.0,100.0,6.932031250000015,0.05870575245722467,8.0,28,0,precision costs more than the error reduction justifies
7,7,0.004,0.97,100.0,6.932031250000015,0.05870575245722467,8.0,28,0,precision costs more than the error reduction justifies
7,7,0.012,1.0,100.0,6.932031250000015,0.05870575245722467,8.0,28,0,precision costs more than the error reduction justifies
7,7,0.012,0.97,100.0,6.932031250000015,0.09787114823200907,8.0,28,0,precision costs more than the error reduction justifies
8,7,0.0,1.0,100.0,6.932031250000015,0.03760628956286574,13.925925925925926,32,0,precision costs more than the error reduction justifies
8,7,0.0,0.97,100.0,6.932031250000015,0.05718756787887616,13.925925925925926,32,0,precision costs more than the error reduction justifies
8,7,0.004,1.0,100.0,6.932031250000015,0.05005694304455735,13.925925925925926,32,0,precision costs more than the error reduction justifies
8,7,0.004,0.97,100.0,6.932031250000015,0.05718756787887616,13.925925925925926,32,0,precision costs more than the error reduction justifies
8,7,0.012,1.0,100.0,6.932031250000015,0.05718756787887616,13.925925925925926,32,0,precision costs more than the error reduction justifies
8,7,0.012,0.97,100.0,6.932031250000015,0.05718756787887616,13.925925925925926,32,0,precision costs more than the error reduction justifies
3,8,0.0,1.0,100.0,6.932031250000015,0.3889029604082076,4.888888888888888,12,0,too much model-facing error
3,8,0.0,0.97,100.0,6.932031250000015,0.3889029604082076,4.888888888888888,12,0,too much model-facing error
3,8,0.004,1.0,100.0,6.932031250000015,0.3889029604082076,4.888888888888888,12,0,too much model-facing error
3,8,0.004,0.97,100.0,6.932031250000015,0.3889029604082076,4.888888888888888,12,0,too much model-facing error
3,8,0.012,1.0,100.0,6.932031250000015,0.3889029604082076,4.888888888888888,12,0,too much model-facing error
3,8,0.012,0.97,100.0,6.932031250000015,0.3889029604082076,4.888888888888888,12,0,too much model-facing error
4,8,0.0,1.0,100.0,6.932031250000015,0.3796196183080618,4.888888888888888,16,0,too much model-facing error
4,8,0.0,0.97,100.0,6.932031250000015,0.3796196183080618,4.888888888888888,16,0,too much model-facing error
