adc_bits,dac_bits,comparator_noise,settling_fraction,row_drop_case_ohm,spice_row_drop_loss_pct,relative_error,energy_relative,latency_comparisons,useful,interpretation
8,5,0.0,0.97,100.0,6.932031250000015,0.09445843888308655,12.370370370370368,32,0,precision costs more than the error reduction justifies
8,5,0.004,1.0,100.0,6.932031250000015,0.046679260787003844,12.370370370370368,32,0,precision costs more than the error reduction justifies
8,5,0.004,0.97,100.0,6.932031250000015,0.09445843888308655,12.370370370370368,32,0,precision costs more than the error reduction justifies
8,5,0.012,1.0,100.0,6.932031250000015,0.07342192420488687,12.370370370370368,32,0,precision costs more than the error reduction justifies
8,5,0.012,0.97,100.0,6.932031250000015,0.08051238094993904,12.370370370370368,32,0,precision costs more than the error reduction justifies
3,6,0.0,1.0,100.0,6.932031250000015,0.3889029604082076,1.7777777777777777,12,0,too much model-facing error
3,6,0.0,0.97,100.0,6.932031250000015,0.3889029604082076,1.7777777777777777,12,0,too much model-facing error
3,6,0.004,1.0,100.0,6.932031250000015,0.3889029604082076,1.7777777777777777,12,0,too much model-facing error
3,6,0.004,0.97,100.0,6.932031250000015,0.3889029604082076,1.7777777777777777,12,0,too much model-facing error
3,6,0.012,1.0,100.0,6.932031250000015,0.3889029604082076,1.7777777777777777,12,0,too much model-facing error
3,6,0.012,0.97,100.0,6.932031250000015,0.3889029604082076,1.7777777777777777,12,0,too much model-facing error
4,6,0.0,1.0,100.0,6.932031250000015,0.3796196183080618,1.7777777777777777,16,0,too much model-facing error
4,6,0.0,0.97,100.0,6.932031250000015,0.3796196183080618,1.7777777777777777,16,0,too much model-facing error
4,6,0.004,1.0,100.0,6.932031250000015,0.3796196183080618,1.7777777777777777,16,0,too much model-facing error
4,6,0.004,0.97,100.0,6.932031250000015,0.3796196183080618,1.7777777777777777,16,0,too much model-facing error
4,6,0.012,1.0,100.0,6.932031250000015,0.3796196183080618,1.7777777777777777,16,0,too much model-facing error
4,6,0.012,0.97,100.0,6.932031250000015,0.3796196183080618,1.7777777777777777,16,0,too much model-facing error
