 time                   v(decision_p)          v(decision_n)          v(row_drive)           v(sar_comparator_input)
 1.117695253974074e-10  8.470035512880352e-01  8.468169108841217e-01  8.500000000000000e-01  9.500000000000001e-01 
 1.317695253974074e-10  8.717537770067638e-01  8.715132122770275e-01  8.500000000000000e-01  9.500000000000001e-01 
 1.517695253974074e-10  8.952045312112455e-01  8.949081960798508e-01  8.500000000000000e-01  9.500000000000001e-01 
 1.717695253974074e-10  9.173510250259118e-01  9.169965339085155e-01  8.500000000000000e-01  9.500000000000001e-01 
 1.917695253974074e-10  9.382178323413379e-01  9.378023121740572e-01  8.500000000000000e-01  9.500000000000001e-01 
 2.117695253974074e-10  9.578523081760022e-01  9.573724403142083e-01  8.500000000000000e-01  9.500000000000001e-01 
 2.317695253974074e-10  9.763181639586411e-01  9.757702179164647e-01  8.500000000000000e-01  9.500000000000001e-01 
 2.517695253974075e-10  9.936897615188852e-01  9.930696223102441e-01  8.500000000000000e-01  9.500000000000001e-01 
 2.717695253974074e-10  1.010047358720792e+00  1.009350549030182e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.917695253974074e-10  1.025473344568205e+00  1.024695042667509e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.117695253974074e-10  1.040049393170401e+00  1.039184446540057e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.317695253974074e-10  1.053854414568016e+00  1.052897350340634e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.517695253974074e-10  1.066963162112617e+00  1.065908194421610e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.717695253974073e-10  1.079445361770357e+00  1.078286396413954e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.917695253974073e-10  1.091365242370762e+00  1.090095879326317e+00  8.500000000000000e-01  9.500000000000001e-01 
 4.117695253974073e-10  1.102781364612263e+00  1.101394898857858e+00  8.500000000000000e-01  9.500000000000001e-01 
 4.317695253974073e-10  1.113746665988926e+00  1.112236087062497e+00  8.500000000000000e-01  9.500000000000001e-01 
 4.517695253974073e-10  1.124308655972970e+00  1.122666646643740e+00  8.500000000000000e-01  9.500000000000001e-01 
 4.717695253974073e-10  1.134509710547741e+00  1.132728644914631e+00  8.500000000000000e-01  9.500000000000001e-01 
 4.917695253974073e-10  1.144387427356816e+00  1.142459368631497e+00  8.500000000000000e-01  9.500000000000001e-01 
 5.117695253974074e-10  1.153975012549913e+00  1.151891710731959e+00  8.500000000000000e-01  9.500000000000001e-01 
 5.317695253974074e-10  1.163301678199084e+00  1.161054567808074e+00  8.500000000000000e-01  9.500000000000001e-01 
 5.517695253974075e-10  1.172393035266287e+00  1.169973233259944e+00  8.500000000000000e-01  9.500000000000001e-01 
 5.717695253974075e-10  1.181271471829039e+00  1.178669775806363e+00  8.500000000000000e-01  9.500000000000001e-01 
 5.917695253974075e-10  1.189956509875921e+00  1.187163396639000e+00  8.500000000000000e-01  9.500000000000001e-01 
 6.117695253974076e-10  1.198465136689357e+00  1.195470761216613e+00  8.500000000000000e-01  9.500000000000001e-01 
 6.317695253974076e-10  1.206812108825128e+00  1.203606303692257e+00  8.500000000000000e-01  9.500000000000001e-01 
 6.517695253974076e-10  1.215010228130907e+00  1.211582503403953e+00  8.500000000000000e-01  9.500000000000001e-01 
 6.717695253974077e-10  1.223070590247066e+00  1.219410133865256e+00  8.500000000000000e-01  9.500000000000001e-01 
 6.917695253974077e-10  1.231002806705773e+00  1.227098485369916e+00  8.500000000000000e-01  9.500000000000001e-01 
 7.117695253974077e-10  1.238815202171779e+00  1.234655562757020e+00  8.500000000000000e-01  9.500000000000001e-01 
 7.317695253974078e-10  1.246514988615965e+00  1.242088260134762e+00  8.500000000000000e-01  9.500000000000001e-01 
 7.517695253974078e-10  1.254108418331219e+00  1.249402514482450e+00  8.500000000000000e-01  9.500000000000001e-01 
 7.717695253974078e-10  1.261600917722155e+00  1.256603440079411e+00  8.500000000000000e-01  9.500000000000001e-01 
 7.917695253974079e-10  1.268997203799858e+00  1.263695445674720e+00  8.500000000000000e-01  9.500000000000001e-01 
 8.117695253974079e-10  1.276301385158532e+00  1.270682336249191e+00  8.500000000000000e-01  9.500000000000001e-01 
 8.317695253974079e-10  1.283517049202850e+00  1.277567401074444e+00  8.500000000000000e-01  9.500000000000001e-01 
 8.517695253974080e-10  1.290647337221498e+00  1.284353489712258e+00  8.500000000000000e-01  9.500000000000001e-01 
 8.717695253974080e-10  1.297695008789141e+00  1.291043077426821e+00  8.500000000000000e-01  9.500000000000001e-01 
 8.917695253974080e-10  1.304662496850651e+00  1.297638321362523e+00  8.500000000000000e-01  9.500000000000001e-01 
 9.117695253974081e-10  1.311551954711455e+00  1.304141108707372e+00  8.500000000000000e-01  9.500000000000001e-01 
 9.317695253974080e-10  1.318365296030310e+00  1.310553097933426e+00  8.500000000000000e-01  9.500000000000001e-01 
 9.517695253974079e-10  1.325104228787465e+00  1.316875754082593e+00  8.500000000000000e-01  9.500000000000001e-01 
 9.717695253974079e-10  1.331770284083397e+00  1.323110378950335e+00  8.500000000000000e-01  9.500000000000001e-01 
 9.917695253974078e-10  1.338364840512371e+00  1.329258136912155e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.011769525397408e-09  1.344889144752267e+00  1.335320077039144e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.031769525397408e-09  1.351344328918911e+00  1.341297152059712e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.051769525397408e-09  1.357731425151773e+00  1.347190234645258e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.071769525397408e-09  1.364051377831557e+00  1.353000131428103e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.091769525397407e-09  1.370305053783969e+00  1.358727595100455e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.111769525397407e-09  1.376493250804206e+00  1.364373334893221e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.131769525397407e-09  1.382616704849205e+00  1.369938025692143e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.151769525397407e-09  1.388676096288239e+00  1.375422316013494e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.171769525397407e-09  1.394672055657096e+00  1.380826835027563e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.191769525397407e-09  1.400605169377038e+00  1.386152198778167e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.211769525397407e-09  1.406475985803684e+00  1.391399015695534e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.231769525397407e-09  1.412285021712374e+00  1.396567891443317e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.251769525397407e-09  1.418032768668859e+00  1.401659433057667e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.271769525397407e-09  1.423719700070147e+00  1.406674252600955e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.291769525397407e-09  1.429346275582212e+00  1.411612969901814e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.311769525397407e-09  1.434912944664044e+00  1.416476214861344e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.331769525397407e-09  1.440420148220583e+00  1.421264629218080e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.351769525397407e-09  1.445868318692797e+00  1.425978867853602e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.371769525397406e-09  1.451257879159615e+00  1.430619599734609e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.391769525397406e-09  1.456589242063965e+00  1.435187508596746e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.411769525397406e-09  1.461862808021002e+00  1.439683293460851e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.431769525397406e-09  1.467078964945953e+00  1.444107669041469e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.451769525397406e-09  1.472238087556709e+00  1.448461366076803e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.471769525397406e-09  1.477340537200242e+00  1.452745131588478e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.491769525397406e-09  1.482386661912216e+00  1.456959729069298e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.511769525397406e-09  1.487376796620018e+00  1.461105938594376e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.531769525397406e-09  1.492311263418655e+00  1.465184556852167e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.551769525397406e-09  1.497190371872468e+00  1.469196397094374e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.571769525397406e-09  1.502014419316829e+00  1.473142289006394e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.591769525397406e-09  1.506783691150130e+00  1.477023078502073e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.611769525397406e-09  1.511498461117324e+00  1.480839627448129e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.631769525397406e-09  1.516158991592586e+00  1.484592813324507e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.651769525397406e-09  1.520765533871255e+00  1.488283528827326e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.671769525397405e-09  1.525318328481051e+00  1.491912681421139e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.691769525397405e-09  1.529817605520580e+00  1.495481192846960e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.711769525397405e-09  1.534263585029982e+00  1.498989998592266e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.731769525397405e-09  1.538656477394843e+00  1.502440047328995e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.751769525397405e-09  1.542996483780683e+00  1.505832300325730e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.771769525397405e-09  1.547283796591338e+00  1.509167730840993e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.791769525397405e-09  1.551518599940635e+00  1.512447323506253e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.811769525397405e-09  1.555701070122183e+00  1.515672073710275e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.831769525397405e-09  1.559831376056358e+00  1.518842987001772e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.851769525397405e-09  1.563909679685052e+00  1.521961078536147e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.871769525397405e-09  1.567936136271104e+00  1.525027372607084e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.891769525397405e-09  1.571910894535938e+00  1.528042902329433e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.911769525397405e-09  1.575834096527279e+00  1.531008709585401e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.931769525397405e-09  1.579705877031610e+00  1.533925845429920e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.951769525397404e-09  1.583526362176588e+00  1.536795371710327e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.971769525397404e-09  1.587295666661883e+00  1.539618361134156e+00  8.500000000000000e-01  9.500000000000001e-01 
 1.991769525397404e-09  1.591013888237918e+00  1.542395908306752e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.011769525397404e-09  1.594681096572996e+00  1.545129137255908e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.031769525397404e-09  1.598297708664801e+00  1.547818745510453e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.051769525397404e-09  1.601864814590833e+00  1.550464784060962e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.071769525397404e-09  1.605381432976981e+00  1.553069708844891e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.091769525397404e-09  1.608847756961719e+00  1.555634440760906e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.111769525397404e-09  1.612263960905397e+00  1.558159954447521e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.131769525397404e-09  1.615630212068992e+00  1.560647243636171e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.151769525397404e-09  1.618946676325898e+00  1.563097310563469e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.171769525397404e-09  1.622213521140277e+00  1.565511159069510e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.191769525397404e-09  1.625430917362723e+00  1.567889790281200e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.211769525397404e-09  1.628599040464165e+00  1.570234199667865e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.231769525397404e-09  1.631718071478113e+00  1.572545374861256e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.251769525397403e-09  1.634788197778825e+00  1.574824293923999e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.271769525397403e-09  1.637809613759516e+00  1.577071923893554e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.291769525397403e-09  1.640782521444835e+00  1.579289219502743e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.311769525397403e-09  1.643707131057533e+00  1.581477122017523e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.331769525397403e-09  1.646583661552385e+00  1.583636558154303e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.351769525397403e-09  1.649412341128018e+00  1.585768439050613e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.371769525397403e-09  1.652193407727613e+00  1.587873659268054e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.391769525397403e-09  1.654927109542592e+00  1.589953095806936e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.411769525397403e-09  1.657613705539862e+00  1.592007607107840e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.431769525397403e-09  1.660253466046759e+00  1.594038032020006e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.451769525397403e-09  1.662846673437103e+00  1.596045188613001e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.471769525397403e-09  1.665393623026943e+00  1.598029872866850e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.491769525397403e-09  1.667894359611991e+00  1.599993115387010e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.511769525397403e-09  1.670349335405216e+00  1.601935568154089e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.531769525397402e-09  1.672758984877714e+00  1.603857858965193e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.551769525397402e-09  1.675123627855674e+00  1.605760711379056e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.571769525397402e-09  1.677443599313662e+00  1.607644825261063e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.591769525397402e-09  1.679719247545425e+00  1.609510876911105e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.611769525397402e-09  1.681950933619578e+00  1.611359519041380e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.631769525397402e-09  1.684139030850165e+00  1.613191380649331e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.651769525397402e-09  1.686283924374442e+00  1.615007066872319e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.671769525397402e-09  1.688386010792932e+00  1.616807158856349e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.691769525397402e-09  1.690445697841802e+00  1.618592213653753e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.711769525397402e-09  1.692463404078580e+00  1.620362764157473e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.731769525397402e-09  1.694439558569288e+00  1.622119319075964e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.751769525397402e-09  1.696374600569510e+00  1.623862362950840e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.771769525397402e-09  1.698268979194852e+00  1.625592356218218e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.791769525397402e-09  1.700123153078233e+00  1.627309735314014e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.811769525397402e-09  1.701937590012718e+00  1.629014912822947e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.831769525397401e-09  1.703712766579510e+00  1.630708277670649e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.851769525397401e-09  1.705449167761349e+00  1.632390195357992e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.871769525397401e-09  1.707147286541981e+00  1.634061008236539e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.891769525397401e-09  1.708807623492665e+00  1.635721035823828e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.911769525397401e-09  1.710430686346893e+00  1.637370575157032e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.931769525397401e-09  1.712016989564641e+00  1.639009901183431e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.951769525397401e-09  1.713567053887566e+00  1.640639267185981e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.971769525397401e-09  1.715081405886592e+00  1.642258905242159e+00  8.500000000000000e-01  9.500000000000001e-01 
 2.991769525397401e-09  1.716560577503388e+00  1.643869026714212e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.011769525397401e-09  1.718005105587211e+00  1.645469822768812e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.031769525397401e-09  1.719415531428591e+00  1.647061464924066e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.051769525397401e-09  1.720792400291299e+00  1.648644105621810e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.071769525397401e-09  1.722136260943978e+00  1.650217878823013e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.091769525397401e-09  1.723447665192798e+00  1.651782900624139e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.111769525397400e-09  1.724727167416415e+00  1.653339269892266e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.131769525397400e-09  1.725975324104446e+00  1.654887068916769e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.151769525397400e-09  1.727192693400618e+00  1.656426364075351e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.171769525397400e-09  1.728379834651661e+00  1.657957206512246e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.191769525397400e-09  1.729537307962941e+00  1.659479632826421e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.211769525397400e-09  1.730665673761770e+00  1.660993665767640e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.231769525397400e-09  1.731765492369221e+00  1.662499314938293e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.251769525397400e-09  1.732837323581219e+00  1.663996577498927e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.271769525397400e-09  1.733881726259620e+00  1.665485438875507e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.291769525397400e-09  1.734899257933843e+00  1.666965873466435e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.311769525397400e-09  1.735890474413655e+00  1.668437845347498e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.331769525397400e-09  1.736855929413532e+00  1.669901308972916e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.351769525397400e-09  1.737796174189020e+00  1.671356209870798e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.371769525397400e-09  1.738711757185414e+00  1.672802485331355e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.391769525397400e-09  1.739603223699045e+00  1.674240065086332e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.411769525397399e-09  1.740471115551370e+00  1.675668871978195e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.431769525397399e-09  1.741315970776020e+00  1.677088822617710e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.451769525397399e-09  1.742138323318925e+00  1.678499828028630e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.471769525397399e-09  1.742938702751555e+00  1.679901794278326e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.491769525397399e-09  1.743717633997282e+00  1.681294623093251e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.511769525397399e-09  1.744475637070855e+00  1.682678212458275e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.531769525397399e-09  1.745213226830888e+00  1.684052457198970e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.551769525397399e-09  1.745930912745280e+00  1.685417249546061e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.571769525397399e-09  1.746629198669419e+00  1.686772479681315e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.591769525397399e-09  1.747308582637017e+00  1.688118036264265e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.611769525397399e-09  1.747969556663385e+00  1.689453806939223e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.631769525397399e-09  1.748612606560944e+00  1.690779678822140e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.651769525397399e-09  1.749238211766742e+00  1.692095538966950e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.671769525397399e-09  1.749846845181750e+00  1.693401274811115e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.691769525397398e-09  1.750438970708002e+00  1.694696791024766e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.711769525397398e-09  1.751015047464549e+00  1.695981975978456e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.731769525397399e-09  1.751575530007993e+00  1.697256702765149e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.751769525397399e-09  1.752120863679290e+00  1.698520863911523e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.771769525397399e-09  1.752651486733716e+00  1.699774354712956e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.791769525397400e-09  1.753167830200464e+00  1.701017073175466e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.811769525397400e-09  1.753670317773183e+00  1.702248920295033e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.831769525397400e-09  1.754159365717338e+00  1.703469800295229e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.851769525397401e-09  1.754635382794277e+00  1.704679620855680e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.871769525397401e-09  1.755098770199241e+00  1.705878293334018e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.891769525397401e-09  1.755549921510896e+00  1.707065732976508e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.911769525397402e-09  1.755989222650733e+00  1.708241859113967e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.931769525397402e-09  1.756417051851275e+00  1.709406595341140e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.951769525397403e-09  1.756833779632375e+00  1.710559869678714e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.971769525397403e-09  1.757239768785180e+00  1.711701614717856e+00  8.500000000000000e-01  9.500000000000001e-01 
 3.991769525397403e-09  1.757635374236838e+00  1.712831767651067e+00  8.500000000000000e-01  9.500000000000001e-01 
 4.011769525397404e-09  1.758020943215266e+00  1.713950270506267e+00  8.500000000000000e-01  9.500000000000001e-01 
 4.031769525397404e-09  1.758396815562498e+00  1.715057070479397e+00  8.500000000000000e-01  9.500000000000001e-01 
 4.051769525397404e-09  1.758763323127115e+00  1.716152119551144e+00  8.500000000000000e-01  9.500000000000001e-01 
 4.071769525397405e-09  1.759120790062956e+00  1.717235374746182e+00  8.500000000000000e-01  9.500000000000001e-01 
 4.091769525397405e-09  1.759469532840756e+00  1.718306798180238e+00  8.500000000000000e-01  9.500000000000001e-01 
 4.111769525397405e-09  1.759809860280286e+00  1.719366357096018e+00  8.500000000000000e-01  9.500000000000001e-01 
 4.131769525397406e-09  1.760142073586415e+00  1.720414023885212e+00  8.500000000000000e-01  9.500000000000001e-01 
 4.151769525397406e-09  1.760466466390290e+00  1.721449776097559e+00  8.500000000000000e-01  9.500000000000001e-01 
 4.171769525397406e-09  1.760783324795681e+00  1.722473596437706e+00  8.500000000000000e-01  9.500000000000001e-01 
 4.191769525397407e-09  1.761092927430324e+00  1.723485472750474e+00  8.500000000000000e-01  9.500000000000001e-01 
 4.211769525397407e-09  1.761395545502063e+00  1.724485397995213e+00  8.500000000000000e-01  9.500000000000001e-01 
 4.231769525397407e-09  1.761691442859626e+00  1.725473370209856e+00  8.500000000000000e-01  9.500000000000001e-01 
 4.251769525397408e-09  1.761980876057838e+00  1.726449392465278e+00  8.500000000000000e-01  9.500000000000001e-01 
 4.271769525397408e-09  1.762264094427079e+00  1.727413472810555e+00  8.500000000000000e-01  9.500000000000001e-01 
 4.291769525397408e-09  1.762541340146798e+00  1.728365624209703e+00  8.500000000000000e-01  9.500000000000001e-01 
 4.311769525397409e-09  1.762812848322900e+00  1.729305864470463e+00  8.500000000000000e-01  9.500000000000001e-01 
 4.331769525397409e-09  1.763078847068819e+00  1.730234216165694e+00  8.500000000000000e-01  9.500000000000001e-01 
 4.351769525397409e-09  1.763339557590096e+00  1.731150706547911e+00  8.500000000000000e-01  9.500000000000001e-01 
 4.371769525397410e-09  1.763595194272283e+00  1.732055367457510e+00  8.500000000000000e-01  9.500000000000001e-01 
 4.391769525397410e-09  1.763845964771988e+00  1.732948235225179e+00  8.500000000000000e-01  9.500000000000001e-01 
 4.411769525397410e-09  1.764092070110887e+00  1.733829350569033e+00  8.500000000000000e-01  9.500000000000001e-01 
 4.431769525397411e-09  1.764333704772542e+00  1.734698758486922e+00  8.500000000000000e-01  9.500000000000001e-01 
 4.451769525397411e-09  1.764571056801826e+00  1.735556508144413e+00  8.500000000000000e-01  9.500000000000001e-01 
 4.471769525397411e-09  1.764804307906805e+00  1.736402652758902e+00  8.500000000000000e-01  9.500000000000001e-01 
 4.491769525397412e-09  1.765033633562910e+00  1.737237249480295e+00  8.500000000000000e-01  9.500000000000001e-01 
 4.511769525397412e-09  1.765259203119212e+00  1.738060359268678e+00  8.500000000000000e-01  9.500000000000001e-01 
 4.531769525397413e-09  1.765481179906645e+00  1.738872046769406e+00  8.500000000000000e-01  9.500000000000001e-01 
 4.551769525397413e-09  1.765699721348030e+00  1.739672380185989e+00  8.500000000000000e-01  9.500000000000001e-01 
 4.571769525397413e-09  1.765914979069707e+00  1.740461431151161e+00  8.500000000000000e-01  9.500000000000001e-01 
